UNKNOWN_COMMAND,Saya belum mengerti pesan ini.\n\nKetik /start untuk mulai laporan.
SYSTEM_ERROR,"Maaf, sedang ada kendala sistem.\n\nSilakan coba lagi atau hubungi admin."
SESSION_EXPIRED,Sesi sudah kedaluwarsa. Silakan kirim /start untuk mulai lagi.
BUTTON_SHARE_LOCATION,Bagikan Lokasi
BUTTON_START,Mulai
BUTTON_SELECT_STORE_MANUAL,Pilih Toko Manual
BUTTON_CONFIRM_YES,Ya
BUTTON_OTHER_STORE,Pilih toko lain
BUTTON_SUBMIT,Kirim
BUTTON_RESTART,Ulangi
BUTTON_CANCEL,Batal
BUTTON_PREVIOUS,Sebelumnya
BUTTON_NO_SALES,Tidak Ada Penjualan
BUTTON_SALES_INPUT_NEXT,Lanjut input {{source}}
BUTTON_SALES_CONTINUE,Lanjutkan
BUTTON_SALES_EDIT,Ubah
BUTTON_EDIT_SOURCES,Tambah / Hapus Sumber Penjualan
BUTTON_BACK_TO_SUMMARY,Kembali ke Ringkasan
BUTTON_DUPLICATE_CONFIRM,"Ya, koreksi"
BUTTON_DUPLICATE_CANCEL,Batal
BUTTON_NONE,Tidak Ada
BUTTON_DONE,Selesai
BUTTON_SKIP,Lewati
BUTTON_STOCK_ISSUE_OTHER,Lainnya
BUTTON_CONTINUE_TO_NEXT_ISSUE,Lanjut ke {{next_issue_label}}
BUTTON_CONTINUE_TO_NEXT_PHASE,Lanjut ke {{next_phase_label}}
BUTTON_SKIP_SKU,Lewati SKU
SELECTED_PREFIX,✓
PROGRESS_MAIN_LABEL,Langkah
PROGRESS_MAIN_FORMAT,{{label}} {{current}}/{{total}} · {{phase}}
CONTEXTUAL_STEP_FORMAT,{{label}} {{current}}/{{total}} · {{title}}
PROGRESS_PHASE_STORE,Pilih Toko
PROGRESS_PHASE_PIN,Verifikasi PIN
PROGRESS_PHASE_SALES,Sumber Penjualan
PROGRESS_PHASE_ISSUE_NOTE,Kendala & Catatan
PROGRESS_PHASE_REVIEW_SUBMIT,Review & Submit
SALES_SOURCE_STEP_LABEL,Sumber
STORE_LABEL_FORMAT,"{{brand}} – {{department_store}} {{branch}}, {{city}}"
STORE_BUTTON_LABEL_WITH_DISTANCE,{{store_label}} ({{distance_meter}})
AREA_LABEL_FORMAT,"{{department_store}} {{branch}}, {{city}}"
DISTANCE_METER_FORMAT,{{distance}} m
DISTANCE_EMPTY,-
LOCATION_STATUS_IN_RADIUS,Dalam radius
LOCATION_STATUS_OUT_OF_RADIUS,Di luar radius
LOCATION_STATUS_MANUAL_STORE_SELECTION,Pilih toko manual
STOCK_ISSUE_OPTION_SIZE_EMPTY,Size habis
STOCK_ISSUE_OPTION_COLOR_EMPTY,Warna habis
STOCK_ISSUE_OPTION_NOT_ARRIVED,Barang belum datang
STOCK_ISSUE_OPTION_STOCK_EMPTY,Stok kosong
STOCK_ISSUE_DETAIL_STEP_LABEL,Kendala
STOCK_ISSUE_DETAIL_TITLE_SIZE_EMPTY,Size Habis
STOCK_ISSUE_DETAIL_TITLE_COLOR_EMPTY,Warna Habis
STOCK_ISSUE_DETAIL_TITLE_NOT_ARRIVED,Barang Belum Datang
STOCK_ISSUE_DETAIL_TITLE_STOCK_EMPTY,Stok Kosong
NEXT_PHASE_NOTE_LABEL,Catatan
STOCK_ISSUE_SELECTED_EMPTY,Belum ada yang dipilih.
STOCK_ISSUE_SELECTED_HEADER,Dipilih:
STOCK_ISSUE_CUSTOM_PROMPT,Ketik kendala stok lainnya.
STOCK_ISSUE_DETAIL_PROMPT,"{{progress}}\n{{detail_progress}}\n\nUntuk kendala <b>{{issue}}</b>, SKU apa saja yang terdampak?\n\n{{sku_list}}\n\n{{instructions}}"
STOCK_ISSUE_DETAIL_INPUT_INSTRUCTION,"Ketik SKU satu per satu, atau beberapa SKU dipisahkan koma."
STOCK_ISSUE_DETAIL_SKIP_INSTRUCTION,Tekan <b>Lewati SKU</b> kalau tidak perlu isi SKU.
STOCK_ISSUE_SKU_EMPTY,Belum ada SKU yang diinput.
STOCK_ISSUE_SKU_HEADER,SKU yang sudah diinput:
STOCK_ISSUE_DETAIL_EMPTY_VALUE,-
STOCK_ISSUE_DETAIL_LINE,{{issue}}: {{sku_list}}
STOCK_ISSUE_CUSTOM_LABEL,Lainnya
SALES_SUMMARY_LINE,"<b>{{source}}</b>: Traffic {{traffic}}, GMV {{gmv}}, Order {{order_count}}, Pieces {{pieces_sold}}"
SALES_SUMMARY_INVALID_HINT,"Pilih <b>Lanjutkan</b>, <b>Ubah</b>, atau <b>Batal</b>."
SALES_NO_SALES_LABEL,Tidak Ada Penjualan
SALES_SOURCES_SELECTED_EMPTY,Belum ada sumber penjualan yang dipilih.
SALES_SOURCES_SELECTED_HEADER,Dipilih:
EDIT_SALES_MENU,"{{progress}}\n\nPilih sumber yang ingin diubah, atau tambah / hapus sumber penjualan."
AREA_NEAREST_FALLBACK,toko terdekat
AREA_MULTIPLE_NEAREST,{{store_count}} toko terdekat
ADMIN_NOTIFICATION,<b>Laporan toko harian</b>\n\nToko: <b>{{store_label}}</b>\nSPG: {{user_name}}\nTanggal: {{report_date}}\n\nPenjualan:\n{{sales_breakdown}}\n\nTotal GMV: {{total_gmv}}\nTotal Order: {{total_order}}\nTotal Pieces: {{total_pieces}}\n\nKendala stok:\n{{stock_issue}}\n\nCatatan:\n{{note}}\n\nJarak: {{distance_meter}}\nLocation Status: <b>{{location_status}}</b>
ADMIN_NOTIFICATION_CORRECTION,<b>⚠️ KOREKSI</b>\n\n<b>Laporan toko harian</b>\n\nToko: <b>{{store_label}}</b>\nSPG: {{user_name}}\nTanggal: {{report_date}}\n\nPenjualan:\n{{sales_breakdown}}\n\nTotal GMV: {{total_gmv}}\nTotal Order: {{total_order}}\nTotal Pieces: {{total_pieces}}\n\nKendala stok:\n{{stock_issue}}\n\nCatatan:\n{{note}}\n\nJarak: {{distance_meter}}\nLocation Status: <b>{{location_status}}</b>
